"parameter";"variable";"version";"parmLong";"years";"URL"
"bio";"01";"2.1";"bio";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio1_1981-2010_V.2.1.tif"
"bio";"04";"2.1";"bio";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio4_1981-2010_V.2.1.tif"
"bio";"06";"2.1";"bio";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio6_1981-2010_V.2.1.tif"
"bio";"12";"2.1";"bio";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio12_1981-2010_V.2.1.tif"
"bio";"15";"2.1";"bio";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio15_1981-2010_V.2.1.tif"
"bio";"18";"2.1";"bio";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio18_1981-2010_V.2.1.tif"
"bio";"19";"2.1";"bio";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio19_1981-2010_V.2.1.tif"
"prec";"01";"2.1";"pr";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/pr/CHELSA_pr_01_1981-2010_V.2.1.tif"
"prec";"02";"2.1";"pr";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/pr/CHELSA_pr_02_1981-2010_V.2.1.tif"
"prec";"03";"2.1";"pr";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/pr/CHELSA_pr_03_1981-2010_V.2.1.tif"
"prec";"04";"2.1";"pr";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/pr/CHELSA_pr_04_1981-2010_V.2.1.tif"
"prec";"05";"2.1";"pr";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/pr/CHELSA_pr_05_1981-2010_V.2.1.tif"
"prec";"06";"2.1";"pr";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/pr/CHELSA_pr_06_1981-2010_V.2.1.tif"
"prec";"07";"2.1";"pr";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/pr/CHELSA_pr_07_1981-2010_V.2.1.tif"
"prec";"08";"2.1";"pr";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/pr/CHELSA_pr_08_1981-2010_V.2.1.tif"
"prec";"09";"2.1";"pr";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/pr/CHELSA_pr_09_1981-2010_V.2.1.tif"
"prec";"10";"2.1";"pr";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/pr/CHELSA_pr_10_1981-2010_V.2.1.tif"
"prec";"11";"2.1";"pr";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/pr/CHELSA_pr_11_1981-2010_V.2.1.tif"
"prec";"12";"2.1";"pr";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/pr/CHELSA_pr_12_1981-2010_V.2.1.tif"
"temp";"01";"2.1";"tas";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tas/CHELSA_tas_01_1981-2010_V.2.1.tif"
"temp";"02";"2.1";"tas";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tas/CHELSA_tas_02_1981-2010_V.2.1.tif"
"temp";"03";"2.1";"tas";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tas/CHELSA_tas_03_1981-2010_V.2.1.tif"
"temp";"04";"2.1";"tas";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tas/CHELSA_tas_04_1981-2010_V.2.1.tif"
"temp";"05";"2.1";"tas";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tas/CHELSA_tas_05_1981-2010_V.2.1.tif"
"temp";"06";"2.1";"tas";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tas/CHELSA_tas_06_1981-2010_V.2.1.tif"
"temp";"07";"2.1";"tas";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tas/CHELSA_tas_07_1981-2010_V.2.1.tif"
"temp";"08";"2.1";"tas";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tas/CHELSA_tas_08_1981-2010_V.2.1.tif"
"temp";"09";"2.1";"tas";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tas/CHELSA_tas_09_1981-2010_V.2.1.tif"
"temp";"10";"2.1";"tas";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tas/CHELSA_tas_10_1981-2010_V.2.1.tif"
"temp";"11";"2.1";"tas";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tas/CHELSA_tas_11_1981-2010_V.2.1.tif"
"temp";"12";"2.1";"tas";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tas/CHELSA_tas_12_1981-2010_V.2.1.tif"
"tmax";"01";"2.1";"tasmax";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tasmax/CHELSA_tasmax_01_1981-2010_V.2.1.tif"
"tmax";"02";"2.1";"tasmax";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tasmax/CHELSA_tasmax_02_1981-2010_V.2.1.tif"
"tmax";"03";"2.1";"tasmax";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tasmax/CHELSA_tasmax_03_1981-2010_V.2.1.tif"
"tmax";"04";"2.1";"tasmax";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tasmax/CHELSA_tasmax_04_1981-2010_V.2.1.tif"
"tmax";"05";"2.1";"tasmax";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tasmax/CHELSA_tasmax_05_1981-2010_V.2.1.tif"
"tmax";"06";"2.1";"tasmax";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tasmax/CHELSA_tasmax_06_1981-2010_V.2.1.tif"
"tmax";"07";"2.1";"tasmax";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tasmax/CHELSA_tasmax_07_1981-2010_V.2.1.tif"
"tmax";"08";"2.1";"tasmax";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tasmax/CHELSA_tasmax_08_1981-2010_V.2.1.tif"
"tmax";"09";"2.1";"tasmax";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tasmax/CHELSA_tasmax_09_1981-2010_V.2.1.tif"
"tmax";"10";"2.1";"tasmax";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tasmax/CHELSA_tasmax_10_1981-2010_V.2.1.tif"
"tmax";"11";"2.1";"tasmax";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tasmax/CHELSA_tasmax_11_1981-2010_V.2.1.tif"
"tmax";"12";"2.1";"tasmax";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tasmax/CHELSA_tasmax_12_1981-2010_V.2.1.tif"
"tmin";"01";"2.1";"tasmin";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tasmin/CHELSA_tasmin_01_1981-2010_V.2.1.tif"
"tmin";"02";"2.1";"tasmin";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tasmin/CHELSA_tasmin_02_1981-2010_V.2.1.tif"
"tmin";"03";"2.1";"tasmin";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tasmin/CHELSA_tasmin_03_1981-2010_V.2.1.tif"
"tmin";"04";"2.1";"tasmin";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tasmin/CHELSA_tasmin_04_1981-2010_V.2.1.tif"
"tmin";"05";"2.1";"tasmin";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tasmin/CHELSA_tasmin_05_1981-2010_V.2.1.tif"
"tmin";"06";"2.1";"tasmin";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tasmin/CHELSA_tasmin_06_1981-2010_V.2.1.tif"
"tmin";"07";"2.1";"tasmin";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tasmin/CHELSA_tasmin_07_1981-2010_V.2.1.tif"
"tmin";"08";"2.1";"tasmin";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tasmin/CHELSA_tasmin_08_1981-2010_V.2.1.tif"
"tmin";"09";"2.1";"tasmin";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tasmin/CHELSA_tasmin_09_1981-2010_V.2.1.tif"
"tmin";"10";"2.1";"tasmin";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tasmin/CHELSA_tasmin_10_1981-2010_V.2.1.tif"
"tmin";"11";"2.1";"tasmin";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tasmin/CHELSA_tasmin_11_1981-2010_V.2.1.tif"
"tmin";"12";"2.1";"tasmin";"_1981-2010";"https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/tasmin/CHELSA_tasmin_12_1981-2010_V.2.1.tif"
